"Date","Price","Open","High","Low","Vol.","Change %"
"09/11/2020","59.34","58.49","59.51","57.45","4.82M","3.09%"
"09/14/2020","63.67","60.15","63.85","60.12","8.93M","7.30%"
"09/15/2020","66.88","65.03","68.41","64.23","9.10M","5.04%"
"09/16/2020","68.84","67.64","70.04","66.73","11.40M","2.93%"
"09/17/2020","67.89","68.50","70.90","64.60","13.28M","-1.38%"
"09/18/2020","69.87","68.28","70.00","66.10","13.21M","2.92%"
"09/21/2020","69.26","68.60","69.48","65.46","8.22M","-0.87%"
"09/22/2020","68.72","67.50","69.19","66.67","6.30M","-0.78%"
"09/23/2020","67.16","67.86","68.62","65.77","6.92M","-2.27%"
"09/24/2020","65.17","65.50","66.77","63.64","5.57M","-2.96%"
"09/25/2020","69.47","65.89","69.73","65.67","9.19M","6.60%"
"09/28/2020","70.55","69.59","71.50","69.10","7.34M","1.55%"
"09/29/2020","70.52","70.46","71.34","69.59","6.29M","-0.04%"
"09/30/2020","70.75","72.51","75.39","70.16","15.69M","0.33%"
"10/01/2020","70.03","69.57","70.20","68.16","6.84M","-1.02%"
"10/02/2020","68.81","67.90","72.77","67.25","8.00M","-1.74%"
"10/05/2020","71.95","69.64","72.02","69.05","6.52M","4.56%"
"10/06/2020","71.04","72.00","73.92","70.31","7.29M","-1.26%"
"10/07/2020","72.37","71.23","73.24","70.96","4.19M","1.87%"
"10/08/2020","72.93","73.50","73.76","72.01","4.02M","0.77%"
"10/09/2020","73.00","73.42","73.67","72.39","4.77M","0.10%"
"10/12/2020","75.31","73.61","75.85","72.92","7.59M","3.16%"
"10/13/2020","78.29","75.93","81.37","75.52","13.67M","3.96%"
"10/14/2020","76.56","80.01","80.01","76.33","6.64M","-2.21%"
"10/15/2020","75.58","75.48","76.49","73.71","5.01M","-1.28%"
"10/16/2020","73.94","76.06","76.93","73.67","4.69M","-2.17%"
"10/19/2020","70.96","73.97","74.09","70.50","6.93M","-4.03%"
"10/20/2020","71.31","72.07","73.10","70.65","5.44M","0.49%"
"10/21/2020","68.37","71.57","71.58","68.06","4.61M","-4.12%"
"10/22/2020","70.84","68.50","72.53","68.40","5.21M","3.61%"
"10/23/2020","70.53","72.30","72.40","68.80","3.74M","-0.44%"
"10/26/2020","70.24","70.36","71.32","68.70","3.87M","-0.41%"
"10/27/2020","70.67","70.45","71.35","68.81","3.81M","0.61%"
"10/28/2020","65.74","68.95","69.47","65.49","6.04M","-6.98%"
"10/29/2020","71.28","68.35","74.54","66.23","13.78M","8.43%"
"10/30/2020","67.47","70.80","71.49","66.85","7.09M","-5.35%"
"11/02/2020","67.11","68.02","68.60","66.55","4.65M","-0.53%"
"11/03/2020","69.08","66.75","69.25","66.59","4.37M","2.94%"
"11/04/2020","69.81","68.97","71.55","68.92","5.44M","1.06%"
